task,phase,iteration,basis,rhs,objective,entering,leaving,reduced_costs
max,phase I,0,"s1, s2, a3",4; 4; 4,-4,x1,s1,x1=1; x2=1; s1=0; s2=0; e3=-1; a3=0
max,phase I,1,"x1, s2, a3",4/5; 24/5; 16/5,-16/5,x2,a3,x1=0; x2=7/5; s1=-1/5; s2=0; e3=-1; a3=0
max,phase I,2,"x1, s2, x2",12/7; 8/7; 16/7,0,,,x1=0; x2=0; s1=0; s2=0; e3=0; a3=-1
max,phase II,0,"x1, s2, x2",12/7; 8/7; 16/7,60/7,e3,s2,x1=0; x2=0; s1=9/7; s2=0; e3=24/7
max,phase II,1,"x1, e3, x2",2; 1; 3,12,,,x1=0; x2=0; s1=0; s2=-3; e3=0
